age,orbits,labeled,after_orbits,after_labeled,dead_orbits,full_chain_orbits
4,6,15,5,14,0,0
6,14,50,5,18,0,0
8,24,81,14,48,0,0
10,38,142,18,66,0,0
12,58,210,23,84,0,0
14,69,264,40,148,0,0
16,88,329,44,160,0,0
18,96,370,52,202,1,0
20,116,433,76,288,0,0
22,138,536,73,282,2,0
24,155,589,86,328,2,0
26,161,630,101,394,2,0
28,178,676,109,416,3,0
30,191,752,95,380,5,0
32,184,715,124,484,4,0
34,160,632,114,452,5,0
36,154,600,99,384,16,0
38,179,708,127,502,5,0
40,202,785,129,498,15,0
42,213,836,129,508,17,0
44,238,910,166,646,7,0
46,263,1040,156,624,9,0
48,250,975,163,638,19,0
50,209,828,151,600,18,0
52,218,846,148,580,20,0
54,245,972,154,616,18,0
56,248,966,174,680,20,0
58,227,900,154,616,21,0
60,236,926,163,652,23,0
62,243,972,168,672,12,0
64,192,760,109,432,52,0
66,139,556,93,368,49,0
68,153,606,137,538,19,0
70,182,724,112,448,46,0
72,195,763,134,526,30,0
74,215,850,162,644,19,0
76,271,1050,204,802,20,0
78,302,1196,157,628,48,0
80,267,1043,184,722,31,0
82,229,908,167,664,26,0
84,259,1006,187,736,30,0
86,300,1192,203,812,22,0
88,301,1174,209,820,34,0
90,270,1072,186,744,34,0
92,281,1104,197,788,34,0
94,282,1128,170,680,39,0
96,213,842,120,476,61,0
98,149,596,98,388,52,0
100,168,662,150,590,22,0
102,202,800,128,512,51,0
104,216,844,167,658,32,0
106,216,856,181,724,25,0
108,253,998,195,780,37,0
110,270,1080,168,672,50,0
112,205,814,126,500,63,0
114,153,612,112,448,56,0
116,197,782,183,732,28,0
118,238,952,163,652,50,0
120,197,782,124,496,65,0
122,158,632,136,544,51,0
124,178,712,144,576,52,0
126,164,656,0,0,164,0
128,82,328,52,208,48,0
130,52,208,44,176,28,0
132,85,336,77,308,39,0
134,92,366,77,308,33,0
136,116,453,111,436,23,0
138,162,640,135,538,26,0
140,230,888,176,690,25,0
142,268,1060,153,612,34,0
144,248,969,171,670,27,0
146,216,856,163,648,22,0
148,241,936,176,692,28,0
150,282,1120,183,732,33,0
152,278,1084,197,772,37,0
154,250,992,172,688,39,0
156,260,1020,181,724,37,0
158,261,1044,169,676,35,0
160,202,798,116,460,59,0
162,145,580,98,388,52,0
164,164,646,150,590,22,0
166,202,800,130,520,51,0
168,215,840,168,662,34,0
170,215,852,184,736,27,0
172,255,1004,201,804,39,0
174,274,1096,168,672,58,0
176,208,822,129,512,66,0
178,156,624,116,464,57,0
180,204,808,189,756,31,0
182,246,984,163,652,58,0
184,202,798,128,512,68,0
186,162,648,136,544,55,0
188,182,728,144,576,56,0
190,164,656,0,0,164,0
192,82,328,52,208,48,0
194,52,208,44,176,28,0
196,85,336,77,308,39,0
198,92,366,83,332,33,0
200,130,512,135,536,23,0
202,175,698,153,612,27,0
204,214,848,172,688,37,0
206,244,976,166,664,34,0
208,194,772,119,472,58,0
210,146,584,108,432,52,0
212,185,734,179,716,26,0
214,228,912,160,640,61,0
216,192,762,124,496,68,0
218,158,632,134,536,56,0
220,176,704,142,568,55,0
222,160,640,0,0,160,0
224,80,320,52,208,46,0
226,52,208,44,176,28,0
228,85,336,80,320,39,0
230,100,400,100,400,33,0
232,117,464,84,336,49,0
234,112,448,92,368,50,0
236,121,484,102,408,44,0
238,116,464,0,0,116,0
240,58,232,40,160,32,0
242,40,160,40,160,20,0
244,71,284,50,200,37,0
246,64,256,0,0,64,0
248,32,128,28,112,18,0
250,28,112,0,0,28,0
252,28,112,0,0,28,28
