age,orbits,labeled,after_orbits,after_labeled,dead_orbits,full_chain_orbits
4,21,120,6,36,0,0
6,68,508,10,80,0,0
8,170,1292,25,184,0,0
10,362,2864,46,364,0,0
12,714,5636,87,660,0,0
14,1259,10024,146,1156,0,0
16,2104,16708,231,1804,0,0
18,3225,25708,324,2580,0,0
20,4555,36284,443,3492,0,0
22,5922,47260,574,4580,0,0
24,7321,58372,681,5396,0,0
26,8419,67228,765,6104,0,0
28,8952,71396,838,6632,0,0
30,9087,72556,819,6548,0,0
32,8597,68584,764,6064,0,0
34,7376,58960,681,5440,0,0
36,6032,48128,514,4056,0,0
38,4346,34720,391,3124,0,0
40,2799,22296,289,2284,0,0
42,1797,14352,156,1248,0,0
44,939,7452,94,732,0,0
46,386,3076,48,380,0,0
48,178,1390,0,0,1,0
50,31,240,0,0,0,0
